date,location
2020-08-18 11:30:00-05:00,"(33.60126, -91.1392879722)"
2020-09-15 11:02:00-04:00,"(43.8466764772, -77.1290529396)"
2020-09-15 11:09:00-04:00,"(43.8459395501, -77.1293569312)"
2020-09-17 12:18:15+00:00,"(36.9114807565, -94.8263395604)"
2020-09-16 15:54:00-05:00,"(44.9708694444, -93.3763805556)"
2020-09-19 13:43:52-05:00,"(44.8998850398, -94.2970301025)"
2020-09-23 07:42:00-05:00,"(30.281175, -97.7235416667)"
2020-09-24 17:17:40-05:00,"(44.77798333, -93.16631383)"
2020-09-19 11:28:00-05:00,"(34.5382279722, -90.568948)"
2020-09-19 11:19:00-05:00,"(34.5380139722, -90.5684279722)"
2020-08-20 09:20:00-05:00,"(33.3998444444, -91.1262805556)"
2020-08-20 09:31:00-05:00,"(33.3996277778, -91.126075)"
2020-10-01 11:55:18+00:00,"(47.1306457494, -96.9887847903)"
2020-09-30 10:32:00-05:00,"(46.836075, -96.840325)"
2020-10-04 16:16:00-05:00,"(39.0130563889, -95.3077713889)"
2020-10-04 13:24:23-04:00,"(41.40914167, -73.941575)"
2020-10-16 13:15:34-05:00,"(43.0581000666, -87.8942106761)"
2020-10-21 10:55:44-05:00,"(42.0994269829, -87.8206107376)"
2020-10-21 10:56:41-05:00,"(42.09940886, -87.82059218)"
2020-10-27 14:29:09-05:00,"(31.60901667, -91.51560333)"
2018-09-02 10:11:00-10:00,"(39.980126, -76.46959)"
2020-10-24 12:21:00-05:00,"(29.5382768222, -96.0349853812)"
2020-09-26 15:04:00-05:00,"(34.4062899722, -90.599834)"
2020-08-15 12:15:00-05:00,"(30.3975805556, -97.6670694444)"
2013-10-09 15:54:00+02:00,"(44.79435, 10.32279)"
2020-12-27 15:42:00-06:00,"(29.5382768222, -96.0349853812)"
2021-03-05 18:09:21-06:00,"(44.799725, -93.425195)"
2020-07-31 10:32:25+00:00,"(44.89685302, -93.19117508)"
2021-06-15 12:43:01-07:00,"(37.2120783333, -120.560775)"
2021-07-17 08:23:29-05:00,"(43.9270324707, -93.952911377)"
2021-07-19 13:13:00-05:00,"(42.9219819722, -88.8256489722)"
2021-07-22 07:35:06+00:00,"(35.5341333333, -97.613275)"
2021-07-27 07:52:39-05:00,"(43.9270210266, -93.9529495239)"
2021-07-15 16:44:09-10:00,"(30.196505, -97.7957833333)"
2021-08-01 11:43:02-05:00,"(44.83485, -93.4750583333)"
2021-08-04 13:38:56+00:00,"(43.2361895781, -97.500322425)"
2021-07-30 08:33:00+00:00,"(38.894382, -92.2072789722)"
2021-08-09 08:15:21-05:00,"(38.8932116667, -92.211625)"
2021-08-11 18:33:42-05:00,"(44.1708377118, -93.9397942275)"
2021-08-11 18:52:53-05:00,"(44.1707607576, -93.9347761497)"
2021-08-11 15:01:36-04:00,"(39.3694932573, -82.1098697931)"
2021-08-17 15:30:16-04:00,"(41.8086111111, -82.6408333333)"
2021-08-18 09:18:25-05:00,"(44.1001114, -96.7592691)"
2021-08-18 19:42:09-05:00,"(46.815373, -96.8016709722)"
2021-08-19 10:23:00-05:00,"(36.3693306793, -86.9862090118)"
2021-08-24 13:20:47+00:00,"(47.9278533333, -97.0310278333)"
2021-08-24 12:49:50-05:00,"(33.84414804, -95.92871773)"
2021-08-26 11:37:04-04:00,"(39.3695605221, -82.1096970421)"
2021-08-26 11:43:11-04:00,"(39.3695141282, -82.1096268856)"
2021-08-29 18:26:25-05:00,"(36.8190183, -94.8826986)"
2020-09-22 17:48:40-05:00,"(30.2812425924, -97.7235462517)"
2021-09-04 14:35:16-05:00,"(42.26143717, -93.99483852)"
2021-09-07 07:34:36-10:00,"(43.8267600877, -91.2258608865)"
2021-09-08 15:49:00-04:00,"(42.9594027778, -81.3051694444)"
2021-09-09 18:25:43+00:00,"(41.060725, -95.9509666667)"
2021-09-16 14:39:17-05:00,"(37.08560864, -93.71580556)"
2021-09-19 11:13:58-05:00,"(42.676955, -90.1163028333)"
2021-09-20 13:12:50-04:00,"(44.4587304496, -73.3488596284)"
1997-09-27 10:00:00-04:00,"(43.99651, -77.73253)"
2021-10-10 13:15:57-05:00,"(43.13475, -89.40815)"
2021-10-10 11:44:02-04:00,"(42.8279496891, -84.3845966086)"
2021-10-13 12:09:46-05:00,"(44.198150564, -96.7888056001)"
2021-10-12 15:56:00-05:00,"(35.9601210001, -95.8895185811)"
2021-10-16 06:45:00-05:00,"(33.57104, -94.40996)"
2021-10-28 14:57:00-05:00,"(30.2570901476, -95.6758169055)"
2012-09-05 00:00:00,"(42.7044598, -81.6168898)"
2007-08-17 00:00:00,"(43.12579279, -79.08253357)"
2007-09-26 00:00:00,"(42.63310813, -81.78138284)"
2007-09-30 00:00:00,"(43.09320906, -81.17064276)"
2005-08-11 00:00:00,"(44.45390795, -79.90103748)"
2004-08-24 00:00:00,"(41.81328, -82.85652)"
2004-08-24 00:00:00,"(41.81331, -82.85784)"
2002-08-26 00:00:00,"(42.82105387, -81.85818144)"
2002-08-27 00:00:00,"(41.68335737, -82.68625984)"
2002-08-28 00:00:00,"(42.64219881, -81.70716771)"
2001-09-12 00:00:00,"(42.02521896, -82.74031067)"
1999-09-24 00:00:00,"(42.6421, -81.70747)"
1999-09-24 00:00:00,"(42.70657, -81.61662)"
1999-09-24 00:00:00,"(42.70836, -81.61786)"
1999-09-24 00:00:00,"(42.6421, -81.70747)"
1999-09-24 00:00:00,"(42.70657, -81.61662)"
1999-09-24 00:00:00,"(42.70836, -81.61786)"
1995-09-13 00:00:00,"(43.05805, -79.0991)"
1993-08-31 00:00:00,"(42.92982, -81.43871)"
1993-09-13 00:00:00,"(42.77397, -80.98778)"
1990-08-21 00:00:00,"(43.00359, -80.95092)"
1990-09-08 00:00:00,"(42.80097, -80.94742)"
1990-09-23 00:00:00,"(42.64324, -80.81825)"
1989-08-22 00:00:00,"(45.55868, -75.05894)"
1989-09-27 00:00:00,"(42.97308, -81.43043)"
1989-10-03 00:00:00,"(42.96946, -81.43531)"
1988-07-26 00:00:00,"(41.68357, -82.68328)"
1988-08-30 00:00:00,"(42.97015, -81.17658)"
1988-09-04 00:00:00,"(41.96795, -82.5049)"
1988-09-04 00:00:00,"(41.96795, -82.5049)"
1988-09-10 00:00:00,"(42.88354, -82.14247)"
1988-09-17 00:00:00,"(42.84037, -79.54507)"
1986-09-07 00:00:00,"(42.03505, -83.05614)"
1984-09-12 00:00:00,"(42.032916, -83.052222)"
1983-09-21 00:00:00,"(42.02509, -83.00872)"
2021-12-25 15:14:19-06:00,"(34.5769583333, -86.5654916667)"
1982-10-06 00:00:00,"(41.81421, -82.68068)"
1981-08-23 00:00:00,"(41.82281, -82.64599)"
1981-08-23 00:00:00,"(41.82281, -82.64599)"
1982-08-21 00:00:00,"(41.82555, -82.64365)"
1988-07-26 00:00:00,"(41.8115, -82.85637)"
1988-09-29 00:00:00,"(42.02678, -82.73941)"
1989-10-05 00:00:00,"(42.9785, -81.417)"
1990-09-20 00:00:00,"(42.95069, -81.39595)"
1991-09-10 00:00:00,"(42.30737, -82.51418)"
1991-09-21 00:00:00,"(43.05929, -81.1842)"
1994-07-19 00:00:00,"(42.63942, -81.70378)"
1994-09-20 00:00:00,"(43.06435, -79.93154)"
1995-09-28 00:00:00,"(42.84133, -79.54994)"
2022-05-29 10:16:40-05:00,"(32.933122893, -97.215282921)"
2022-06-01 07:54:38-05:00,"(30.8232421565, -88.3614002913)"
2022-06-01 09:28:04-05:00,"(38.6718824273, -90.5931739094)"
2018-06-22 12:00:00-05:00,"(43.029695, -89.330492)"
2022-06-12 20:29:59-05:00,"(38.7425696661, -93.7438632175)"
2022-06-17 15:40:31-05:00,"(38.9723929745, -94.6613285323)"
2022-06-23 06:54:19-04:00,"(41.4519411705, -83.8015651053)"
2022-06-25 12:12:29-04:00,"(40.09426881, -83.15762178)"
2022-06-25 14:18:36-05:00,"(35.2169883333, -97.4666533333)"
2022-06-26 09:20:42-05:00,"(30.8411783333, -96.9838633333)"
2021-09-27 11:04:30-05:00,"(44.6630704, -97.56577921)"
2022-06-29 19:54:33-05:00,"(32.8737133333, -96.7323666667)"
2022-06-29 19:59:07-05:00,"(32.873825, -96.7324483333)"
2022-07-03 12:36:00-04:00,"(39.8881685578, -84.8929047732)"
2022-07-13 20:11:04-05:00,"(29.4498308768, -95.7836677281)"
2022-07-16 09:07:57-05:00,"(29.8132533333, -95.6333166667)"
2022-07-20 20:26:54-05:00,"(41.5909612058, -93.6906416388)"
2022-07-23 11:55:58-05:00,"(31.56058, -88.0330721667)"
2022-07-24 15:56:39-05:00,"(30.4838383333, -97.9178033333)"
2022-07-28 07:30:48-05:00,"(30.21697, -97.8553866667)"
2022-07-28 10:02:35-05:00,"(33.1661434475, -96.8566383255)"
2022-07-28 14:55:50-05:00,"(42.66401247, -88.95742651)"
2022-07-30 18:38:34-04:00,"(40.1943931389, -85.4067153889)"
2022-07-29 09:01:00-05:00,"(32.7356138889, -96.5858833333)"
2022-07-31 18:26:16-05:00,"(40.1536861667, -88.27758)"
2022-08-01 10:42:23-05:00,"(44.842315, -93.2501683333)"
2022-08-02 08:52:29-05:00,"(43.4545305556, -91.2267694444)"
2022-08-02 14:57:20-05:00,"(33.1069465929, -90.7975066854)"
2022-07-28 10:49:24-05:00,"(41.9703533333, -87.7084283333)"
2022-08-04 12:13:03-05:00,"(44.9354880955, -94.6037908272)"
2022-08-04 20:16:31-05:00,"(44.7385311, -95.4320534)"
2022-08-05 13:22:00-05:00,"(44.7370111111, -93.6186361111)"
2022-08-05 19:14:13-05:00,"(40.1546583333, -88.2777033333)"
2022-08-05 19:08:28-05:00,"(40.154125, -88.27845)"
2022-08-05 19:02:15-05:00,"(40.1535388333, -88.2802583333)"
2022-07-24 00:00:00,"(33.242657, -97.109358)"
2022-08-06 13:33:33-05:00,"(43.9559743333, -98.0659513611)"
2022-08-05 15:48:18-05:00,"(40.1257888333, -88.283355)"
2022-08-07 14:14:32-05:00,"(40.1516037093, -87.7361331135)"
2022-08-07 10:12:01-05:00,"(38.8107359722, -91.4093539722)"
2022-08-07 17:48:40-04:00,"(39.3694784213, -82.1094559786)"
2022-08-08 13:38:23-05:00,"(44.4620955193, -93.1678880729)"
2022-08-09 07:10:42-05:00,"(30.287705, -87.4795616667)"
2022-08-08 12:36:00-05:00,"(38.9985099138, -95.7471969002)"
2022-08-09 21:37:21-04:00,"(42.2373974951, -83.6206654005)"
2022-08-10 07:38:24-05:00,"(43.7980452791, -91.2594315782)"
2022-08-10 13:21:34-05:00,"(44.0222175, -92.4508992)"
2022-08-11 10:15:50-05:00,"(43.9564428889, -98.0632274167)"
2022-08-11 07:45:09-05:00,"(30.2316166667, -97.8384783333)"
2022-08-07 17:25:00-05:00,"(30.2841888889, -97.7540666667)"
2022-08-12 14:48:10-05:00,"(44.8568786681, -93.4407657199)"
2022-08-12 16:26:17-05:00,"(44.8546148837, -93.4450570029)"
2022-08-13 12:37:59-05:00,"(38.573126, -90.482224)"
2022-08-13 14:39:36-05:00,"(42.0986303023, -93.5775167146)"
2022-08-14 10:07:10-05:00,"(41.5704358819, -87.4586712654)"
2022-08-14 14:43:12-05:00,"(38.393040807, -90.6356350892)"
2022-08-14 18:04:49-05:00,"(43.75585505, -96.784827)"
2022-08-15 10:55:52-05:00,"(44.7806890997, -93.6047432997)"
2022-08-14 15:52:32-05:00,"(41.579545, -93.60827)"
2022-08-16 12:24:00-05:00,"(43.7698103056, -98.0100481111)"
2022-08-16 14:19:16-05:00,"(38.6437415, -90.2648907)"
2022-08-17 16:53:26-05:00,"(43.0982778333, -89.3396833333)"
2022-08-17 19:14:56-05:00,"(43.5258888745, -96.7284492785)"
2022-08-17 17:16:21-05:00,"(44.8556133333, -93.2103583333)"
2022-08-18 18:08:14-05:00,"(40.1374927902, -87.7453518659)"
2022-08-20 13:14:30-04:00,"(39.7414395973, -84.0076256047)"
2022-08-21 15:26:15-05:00,"(38.32922, -93.759405)"
2022-07-25 17:58:53-05:00,"(41.7617519732, -92.72698313)"
2022-08-24 11:28:12-05:00,"(43.0936055, -89.4828033333)"
2022-08-24 12:41:04-05:00,"(46.3841725267, -95.9496993405)"
2022-08-10 18:54:58-05:00,"(30.2401033333, -97.8083633333)"
2022-08-25 17:55:41-04:00,"(40.9468417, -85.2919849997)"
2022-08-27 09:13:28-04:00,"(43.0637666667, -79.9311527778)"
2022-08-28 10:30:00-04:00,"(38.9929267188, -84.5693707466)"
2022-08-28 14:57:26-05:00,"(42.1606857374, -87.8258442762)"
2022-08-28 17:18:31-04:00,"(40.1363888889, -83.0866666667)"
2022-08-27 19:09:00-05:00,"(44.8834328091, -93.1809681378)"
2022-08-29 07:27:50-05:00,"(44.0500916667, -92.3988283333)"
2022-08-30 15:44:36-03:00,
2022-08-15 18:57:31-05:00,"(35.3487583333, -94.2908783333)"
2022-08-26 16:33:00-05:00,"(44.9041943959, -93.1909221069)"
2022-09-02 09:38:35-05:00,"(41.821585836, -88.1725899515)"
2022-06-29 14:15:27-04:00,"(39.9178634986, -83.8523788222)"
2022-09-03 10:45:23-04:00,"(42.035288075, -85.4067935889)"
2022-09-03 18:40:08-04:00,"(44.310734701, -73.316650695)"
2022-09-02 15:41:41-05:00,"(39.3679283333, -88.0076222167)"
2022-09-03 11:31:00-05:00,"(42.7069270679, -88.2672386189)"
2022-09-05 18:34:59-05:00,"(43.8248723531, -91.2565106526)"
2022-09-05 18:25:59-05:00,"(43.8222666764, -91.2547732517)"
2022-09-05 14:28:18-05:00,"(40.0691750027, -88.5605)"
2022-09-04 10:18:05-04:00,"(40.02533605, -86.49177415)"
2022-09-06 17:59:51-05:00,"(41.5266810568, -87.4293006414)"
2022-09-07 11:37:57-04:00,"(39.71450955, -85.8858037167)"
2022-08-18 00:00:00,"(42.730427, -84.484895)"
2022-08-25 10:55:08-05:00,"(44.5492668454, -95.3757684267)"
2022-09-09 08:41:42-05:00,
2022-09-09 11:54:57-05:00,"(42.7492704408, -94.4976162256)"
2022-09-13 09:53:52-04:00,"(39.9092701357, -86.3853508607)"
2022-09-13 10:21:09-05:00,"(42.5209702755, -90.7065954802)"
2022-09-12 11:51:00-05:00,"(45.0358207161, -93.0624927822)"
2022-09-13 16:50:42-05:00,"(43.1118583333, -89.3720166667)"
2022-09-13 16:50:24-05:00,"(43.1118388333, -89.3720633333)"
2022-09-13 16:50:11-05:00,"(43.1118361667, -89.3720783333)"
2022-09-13 16:49:47-05:00,"(43.1118388333, -89.3720866667)"
2022-08-29 15:01:08-04:00,"(41.7311466667, -82.671145)"
2022-09-05 08:42:22-04:00,"(38.797513, -79.879806)"
2022-09-18 14:17:16-05:00,"(44.95254938, -93.21445928)"
2022-09-20 11:43:29-05:00,"(44.4600661286, -88.0534791761)"
2022-09-20 17:06:59-05:00,"(44.882605, -93.01825)"
2022-09-22 13:58:23-05:00,"(44.3513142156, -97.0676552901)"
2022-09-22 13:27:49-05:00,"(36.4243197636, -94.2153315449)"
2022-09-22 10:52:00-04:00,"(41.548519, -83.60967)"
2022-09-24 10:19:53-05:00,"(38.7486512214, -93.7531104684)"
2022-09-24 11:26:05-05:00,"(41.6885942873, -87.5748628658)"
2022-09-25 10:56:00-05:00,"(39.0423366667, -92.23497)"
2022-09-25 18:04:55-05:00,"(43.4941182984, -96.6791327019)"
2022-09-25 17:43:00-05:00,"(39.7109638889, -91.355025)"
2022-09-26 16:31:52-05:00,"(38.73702, -90.190255)"
2022-09-24 17:11:00-05:00,"(41.9631998, -87.6331366)"
2022-09-27 13:11:30-05:00,"(43.930654, -91.27493499)"
2022-09-28 16:12:31-05:00,"(43.92879875, -91.26340953)"
2022-09-29 15:30:40-05:00,"(33.8854319325, -94.8261755019)"
2022-10-01 12:49:29-05:00,"(41.178265175, -89.6088581201)"
2022-09-25 18:48:15-05:00,"(41.9593751636, -87.7139710262)"
2022-08-27 19:22:00+05:30,"(13.75448, 79.60128)"
2022-09-29 12:19:50-05:00,"(35.8100783333, -90.6284333333)"
2022-09-29 12:09:36-05:00,"(35.8100366667, -90.6293333333)"
2022-10-02 14:45:01-05:00,"(38.7898212997, -91.4659704997)"
2022-10-02 14:41:08-05:00,"(38.7896374997, -91.4660743997)"
2022-09-11 14:55:38-05:00,"(35.3658216667, -94.3490133333)"
2022-10-03 18:18:31-04:00,"(42.7135443185, -84.3422016129)"
2022-10-05 09:28:13-05:00,"(44.7169333333, -93.1440721667)"
2022-10-06 11:08:03-05:00,"(41.9767164, -87.7760919)"
2022-10-06 14:05:32-05:00,"(44.2243041992, -96.6891098022)"
2022-10-08 09:30:42-05:00,"(27.6724299209, -97.3502260782)"
2022-07-15 19:27:03-05:00,"(39.0685751798, -94.1558199106)"
2022-07-15 19:28:16-05:00,"(39.0684972732, -94.1559046611)"
2022-10-09 16:59:01-05:00,"(42.6409235503, -95.2139142655)"
2022-10-09 18:43:56-05:00,"(30.2221344712, -97.7740163665)"
2022-10-11 15:01:37-05:00,"(41.2578777, -96.0085111)"
2022-10-15 13:40:17-05:00,"(41.96302821, -87.6342858)"
2022-10-17 10:42:43-05:00,"(35.82328, -90.43933)"
2022-10-17 10:35:20-05:00,"(35.8224133333, -90.4382466667)"
