,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,land_cover_class,human_mediated/natural,proportion_agricultural_300m,shannon_idx_300m,top_class_300m
29,176872175,95c938a8-f762-11e1-a439-00145eb45e9a,0bd4fcb4-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Stull, 4.5 mi S, 0.5 mi E; Clinton Reservoir, W end",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.9036,-95.4477,,,,,,,10/7/06,7.0,10.0,2006,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,356536,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman; Jane A Freeman,,,09:43.5,,,Deciduous Forest,natural,24.748040313549836,1.7093052553451829,Water
30,176872176,95c938a8-f762-11e1-a439-00145eb45e9a,0c0b4e4a-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,Fort Leavenworth Military Reservation; NE part at Weston Bend,Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.390836,-94.895062,679.0,,,,,,9/10/96,10.0,9.0,1996,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,312113,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,09:48.7,,,Woody Wetlands,natural,14.441340782122904,1.317654152503409,Woody Wetlands
31,176872180,95c938a8-f762-11e1-a439-00145eb45e9a,0d29947f-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Glen Elder, 1.5 mi S; Glen Elder Dam, S end along Waconda Lake",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.474891,-98.314562,305.0,,,,,,10/13/97,13.0,10.0,1997,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,319560,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,10:10.0,,,"Developed, Medium Intensity",human_mediated,13.27683615819209,1.433335701693251,Grassland/Herbaceous
32,176872182,95c938a8-f762-11e1-a439-00145eb45e9a,0d31aa45-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Ste. Genevieve, 0.5 mi E; Marina de Gabouri Public Fishing Access",Missouri,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,37.97719,-90.02909,,,,,,,10/14/06,14.0,10.0,2006,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,355223,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,10:13.1,,,Cultivated Crops,human_mediated,68.8588007736944,1.1185846955808387,Cultivated Crops
33,176872183,95c938a8-f762-11e1-a439-00145eb45e9a,0b9326ff-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Maple Hill, 2.2 mi E",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.0805,-95.974401,1137.0,,,,,,9/4/97,4.0,9.0,1997,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,315557,,Ronald L McGregor,,CC_BY_4_0,,Robert E Russell; Ronald L McGregor,,,09:38.7,,,Grassland/Herbaceous,natural,1.2304250559284116,0.082199163527344,Grassland/Herbaceous
34,176872252,95c938a8-f762-11e1-a439-00145eb45e9a,026c39cc-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Waverly, 1.5 mi N, 0.5 mi W; Cedar Bend Conservation Park, E end",Iowa,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,42.759684,-92.459187,419.0,,,,,,10/7/97,7.0,10.0,1997,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,314159,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,06:00.4,,,Cultivated Crops,human_mediated,90.9722222222222,0.8633158105978621,Cultivated Crops
35,176872257,95c938a8-f762-11e1-a439-00145eb45e9a,0d50584f-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,Tallgrass Prairie National Preserve,Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.403056,-96.550556,,,,,,,9/7/04,7.0,9.0,2004,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,349629,,Craig C Freeman,,CC_BY_4_0,,Iralee Barnard; Carol Peterson,,,10:30.4,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,Pasture/Hay,human_mediated,22.4438202247191,1.7112746610841072,Grassland/Herbaceous
36,176872261,95c938a8-f762-11e1-a439-00145eb45e9a,0dbd81f6-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Tripoli, 1.5 mi E; Wapsi Greenbelt, Island Access",Iowa,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,42.810075,-92.223565,974.0,,,,,,8/6/97,6.0,8.0,1997,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,314848,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,10:38.2,,,Emergent Herbaceous Wetlands,natural,20.660011092623403,1.6123986691716754,Woody Wetlands
37,176872262,95c938a8-f762-11e1-a439-00145eb45e9a,0515303f-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Somerset, 1 mi E",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.5875,-94.745833,,,,,,,10/5/00,5.0,10.0,2000,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,337501,,Ronald L McGregor,,CC_BY_4_0,,Caleb A Morse,,,07:55.3,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,Pasture/Hay,human_mediated,69.02037398827798,0.8319020141814197,Pasture/Hay
38,233096755,95c938a8-f762-11e1-a439-00145eb45e9a,0e0ab8b5-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Overton, 1 mi S, 1 mi E; Taylors Landing Public Access",Missouri,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.96043,-92.54901,,,,,,,10/10/07,10.0,10.0,2007,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,360615,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,10:38.9,,,"Developed, Medium Intensity",human_mediated,14.134962510413777,2.060732675596465,Water
39,233096758,95c938a8-f762-11e1-a439-00145eb45e9a,035fecbd-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Thurman, 2 mi N, 0.5 mi W; Forneys Lake Wildlife Management Area",Iowa,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,40.8529,-95.7824,,,,,,,7/20/05,20.0,7.0,2005,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,361299,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman; Caleb A Morse,,,07:08.1,,,Emergent Herbaceous Wetlands,natural,35.47212104230877,0.8513915991015866,Emergent Herbaceous Wetlands
