Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Unnamed: 28,Unnamed: 29,Pair,plinkorder,sample2,decimalLongitude,decimalLatitude,SeqNames,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,year,land_cover_class,top_class_1000m,proportion_agricultural_1000m,shannon_idx_1000m,proportion_natural_1000m,Unnamed: 49,Unnamed: 50,BIO4 = Temperature Seasonality (standard deviation ×100),Shannon idx,fipsx,"2,4-D",ATRAZINE,DICAMBA,GLUF OSINATE,GLYPHOSATE,METOLACHLOR,bio_17,bio_10,bio_01,bio_04,bio_15
4891,97.0,3.04,13.3,0.00417,1.1,521042030.0,521.04203,Knox_Nat_97_M_Wa,Knox,97.0,Nat,M,Wa,4891.0,0.0212,13.5,1.144067797,0.00389,0.777,12656.0,1.2656,17.0856,1.447932203,1.162374,0.527466,Natural,Knox,,,15.0,111.0,4891.0,-86.746256,41.31732501,P15_Nat,,,,,,,,2018,Woody Wetlands,Woody Wetlands,19.61325967,1.20115978,19.61325967,,,,,18149,2756.5,13171.5,7393.4,1462.6,47365.2,4466.7,3.228768e-08,296.8684,284.2088,1039.7712,0.35223144
4895,97.4,2.56,12.8,0.00212,0.587,538280036.0,538.280036,Baldwin_Ag_102_F_Co,Baldwin,102.0,Ag,F,Co,4895.0,0.001,56.4,3.735099338,0.00483,1.7,11019.0,1.1019,62.14716,4.11570596,4.400806,0.881838,Agricultural,Baldwin,,,17.0,108.0,4895.0,-95.171401,38.782048,P17_Ag,,,,,,,,2018,"Developed, Open Space",Pasture/Hay,45.95875139,1.717661031,45.95875139,,,,,20045,7054.8,19566.8,5187.5,3421.4,40296.8,1713.4,1.2132852e-08,299.45386,286.4504,1047.7438,0.49105367
4899,97.1,2.87,14.3,0.00305,0.776,516070118.0,516.070118,Mulberry_Ag_198_M_So,Mulberry,198.0,Ag,M,So,4899.0,0.0158,61.2,4.601503759,0.00627,4.38,10910.0,1.091,66.7692,5.020240602,4.725973,1.534331,Agricultural,Mulberry,,,5.0,49.0,4899.0,-89.272475,38.755485,P5_Ag,,,,,,,,2018,"Developed, Open Space",Cultivated Crops,39.82300885,1.76620195,39.82300885,,,,,17005,6741.0,24958.5,8448.9,4030.5,60385.5,3878.4,3.4570604e-08,298.82028,286.79904,1015.1073,0.33375627
4902,97.0,2.97,14.3,0.00273,0.733,518483592.0,518.483592,Gascondale_Nat_166_M_So,Gascondale,166.0,Nat,M,So,4902.0,0.0106,20.3,1.5859375,0.00599,1.25,11435.0,1.1435,23.21305,1.813519531,1.601199,0.20714,Natural,Gascondale,,,9.0,47.0,4902.0,-91.55559699,38.66783702,P9_Nat,,,,,,,,2018,Barren Land,Deciduous Forest,22.9980604,1.839746041,22.9980604,,,,,29073,324.3,2936.2,183.5,4326.6,4947.6,596.0,2.4192978e-08,299.14294,286.57193,1032.7964,0.3882354
4907,97.1,2.88,13.1,0.00303,1.15,498345984.0,498.345984,Greenup_Ag_8_F_Co,Greenup,8.0,Ag,F,Co,4907.0,0.00545,8.13,0.5685314685,0.00358,0.126,21445.0,2.1445,17.434785,1.219215734,1.280997,0.22964,Agricultural,Greenup,,,4.0,32.0,4907.0,-88.139778,39.305104,P4_Ag,,,,,,,,2018,Cultivated Crops,Cultivated Crops,56.18442849,1.282806593,56.18442849,,,,,17035,9109.4,29150.7,11422.7,10059.2,58719.1,3004.6,3.3615564e-08,298.33832,286.11453,1032.1761,0.3376125
4909,97.5,2.49,15.4,0.00415,0.715,534903026.0,534.903026,Bradley_Ag_153_M_Co,Bradley,153.0,Ag,M,Co,4909.0,0.0113,66.0,4.615384615,0.00698,3.89,11156.0,1.1156,73.6296,5.148923077,4.70655,0.868137,Agricultural,Bradley,,,14.0,63.0,4909.0,-87.81988903,41.16467102,P14_Ag,,,,,,,,2018,Cultivated Crops,Cultivated Crops,69.40071803,0.983290477,69.40071803,,,,,17091,7599.6,67040.6,9814.2,9303.1,108801.1,7824.2,2.6512279e-08,296.63098,283.97635,1040.8037,0.32317045
4912,97.2,2.84,13.3,0.00312,0.853,534875554.0,534.875554,FoxRidge_Nat_75_F_Co,FoxRidge,75.0,Nat,F,Co,4912.0,0.0241,13.7,1.045801527,0.0049,1.62,11842.0,1.1842,16.22354,1.238438168,1.063568,0.187652,Natural,FoxRidge,,,4.0,93.0,4912.0,-88.163216,39.393248,P4_Nat,,,,,,,,2018,Woody Wetlands,Deciduous Forest,35.66105437,1.564507448,35.66105437,,,,,17029,15017.6,56152.7,17407.8,15476.6,100204.3,5063.0,3.3615564e-08,298.33832,286.11453,1032.1761,0.3376125
4917,97.1,2.92,11.3,0.00359,0.669,569330104.0,569.330104,Weston_Ag_136_M_Co,Weston,136.0,Ag,M,Co,4917.0,0.0266,12.8,0.8311688312,0.00351,0.505,11167.0,1.1167,14.29376,0.9281662338,1.081533,0.191499,Agricultural,Weston,,,1.0,48.0,4917.0,-83.79889,41.37218297,P1_Ag,,,,,,,,2018,"Developed, Medium Intensity",Cultivated Crops,82.48962656,0.6960728422,82.48962656,,,,,39173,20519.3,51872.6,3321.8,7535.9,120506.6,6009.6,2.747639e-08,296.08673,284.08786,990.5662,0.29595977
4919,96.9,3.1,13.5,0.00234,0.962,539437988.0,539.437988,Aurora_Nat_5_F_Wa,Aurora,5.0,Nat,F,Wa,4919.0,0.0183,15.0,1.127819549,0.00592,0.736,11294.0,1.1294,16.941,1.273759398,1.129918,0.29942,Natural,Aurora,,,3.0,68.0,4919.0,-84.89810603,39.05562996,P3_Nat,,,,,,,,2018,"Developed, Medium Intensity",Water,10.43046358,1.956058501,10.43046358,,,,,18029,2279.6,2392.4,277.7,1153.7,13143.0,1680.2,3.6089663e-08,297.56015,286.21942,961.5629,0.32453346
4921,97.7,2.28,11.7,0.00308,0.74,559559606.0,559.559606,Lawrence_Nat_133_F_So,Lawrence,133.0,Nat,F,So,4921.0,0.00241,37.2,3.292035398,0.00472,0.875,10851.0,1.0851,40.36572,3.572187611,3.133008,0.540681,Natural,Lawrence,,,17.0,43.0,4921.0,-95.241462,38.927036,P17_Nat,,,,,,,,2018,"Developed, Medium Intensity",Pasture/Hay,41.77392278,1.872383738,41.77392278,,,,,20045,7054.8,19566.8,5187.5,3421.4,40296.8,1713.4,1.2132852e-08,299.45386,286.4504,1047.7438,0.49105367
